SMILES,MW,HBA,HBD,nRot,nRing,nHet,fChar,TPSA,LogP,StereoCenters,hERG pIC50
Cl.Clc1cccs1.O=C(NC1CCN(CC2CCC2)CC1)C1(c2ccccc2)CC1,467.50600000000037,3,1,5,5,6,0,32.34,5.9222000000000055,0,5.651880264282227
O=C(CCCc1ccccc1F)N1CCC(c2c[nH]c3ccc(N4CC=CC4)cc23)CC1,431.55500000000023,2,1,6,5,5,0,39.34,5.412100000000005,0,5.69481086730957
O=C(NCC1(c2c(F)cccc2F)CC1)c1ccc(-c2ccccc2)c(CN2CCC2)c1,432.51400000000024,2,1,7,5,5,0,32.34,5.2991000000000055,0,5.902326583862305
O=C(CCc1ccccc1F)Nc1ccccc1SC1CCCN(C2CC2)C1,398.54700000000025,3,1,7,4,5,0,32.34,5.115900000000004,1,4.8860626220703125
O=C(c1cccs1)N(CCC1CCCC1)C1CCN(Cc2ccccc2F)CC1,414.59000000000015,3,0,7,4,5,0,23.550000000000004,5.574300000000006,0,5.800650596618652
O=C(NCCc1cc(OC2CCN(c3ccc(F)cc3)CC2)ccc1F)C1CC1,400.46900000000016,3,1,7,4,6,0,41.57,4.081300000000003,0,5.80597448348999
CN(CCCN1CCC(c2c[nH]c3cc(Cl)ccc23)CC1)Cc1ccc2ncccc2c1,447.0260000000003,3,1,7,5,5,0,35.16,6.071000000000006,0,5.9920878410339355
O=C(CCc1cccc(-c2c[nH]c3ccccc23)c1)N(Cc1ccc(F)cc1F)C1CC1,430.4980000000002,1,1,7,5,5,0,36.1,6.236900000000004,0,5.985433578491211
O=C(NC1CCCCC1)C1(C2CC2)CCN(CCc2cc(F)cc(F)c2)CC1,390.5180000000001,2,1,6,4,5,0,32.34,4.448400000000004,0,5.971773147583008
O=C(NCC1(c2ccccc2)CCCN1Cc1ccsc1)C1(c2cccc(F)c2)CC1,434.5800000000001,3,1,7,5,5,0,32.34,5.226500000000006,1,5.630715370178223
O=C(NCCC1(Cc2ccc(F)cc2)CCC1)c1ccc(-c2ccccc2F)s1,411.51700000000005,2,1,7,4,5,0,29.1,6.226200000000005,0,5.630122184753418
O=C(NCCCc1ccc(F)c(F)c1)[C@H]1C[C@H](c2ccccc2)N1c1ccc2c(c1)COC2,448.5130000000002,3,1,7,5,6,0,41.57000000000001,5.0640000000000045,2,5.528807163238525
O=C1/C(=C\CCN2CCC3(CC2)CO3)c2cc(F)ccc2N1CCCc1cccc(F)c1,438.5180000000002,3,0,7,5,6,0,36.080000000000005,4.582500000000004,0,5.867098331451416
O=C(Nc1ccccc1Cl)N1CCC(CCCN2CSCC3(CC3)C2)CC1,408.01100000000025,3,1,5,4,6,0,35.580000000000005,5.150600000000004,0,4.957009315490723
CN1CCC1(CNC(=O)c1cn(Cc2ccc(F)cc2)cc1C1CC1)c1ccccc1,417.52800000000013,3,1,7,5,5,0,37.27,4.513700000000004,1,5.200915336608887
C=CC(=O)c1cc(-c2ccc(CN3CCN(CC4CCCC4)CC3)c(Cl)c2)ccc1F,440.99000000000024,3,0,7,4,5,0,23.550000000000004,5.822600000000006,0,5.480195045471191
OC(COc1cccnc1)(c1ccc2ccccc2c1)C1CCN(Cc2ccc(F)cc2)CC1,456.56100000000026,4,1,7,5,5,0,45.59,5.552700000000005,1,5.771296501159668
O=C(Nc1cccc2ccccc12)N1CCC(CCCN2C=Cc3nc(F)ccc3C2)CC1,444.5540000000002,3,1,5,5,6,0,48.470000000000006,5.884500000000005,0,5.1140923500061035
O=C(C(=S)N(c1cccc2ccccc12)C1CCC1)N1CCCNc2ccc(F)c1c2,433.5520000000002,3,1,2,5,6,0,35.580000000000005,5.514000000000004,0,4.569814205169678
O=C(NC1(Cc2cccc(F)c2)CCCC1)c1cn(Cc2ccc(F)cc2)c2ccccc12,444.5250000000001,2,1,6,5,5,0,34.03,6.253100000000006,0,5.523252010345459
Cc1cc(N2CCC(CNC(=O)c3ccc(C4(C5CC5)CC4)cc3)CC2)c(F)cc1F,424.53500000000025,2,1,6,5,5,0,32.34,5.361220000000006,0,5.783471584320068
O=C(CC1(CN2CCC(NC3CC3)CC2)Cc2ccccc21)c1ccc(Cl)c(F)c1,426.9630000000001,3,1,7,5,5,0,32.34,4.762400000000004,1,5.580112457275391
Cl.Fc1cc2c(C3CCN(CCCCOc4ccc5c(c4)CCC5)CC3)cccc2[nH]1,443.0060000000002,2,1,7,5,5,0,28.259999999999998,6.256100000000006,0,5.85527229309082
O=c1cc2ccccc2c(CCCCN2CCN(c3ccc(F)cc3)C3(CCC3)C2)[nH]1,419.5440000000001,3,1,6,5,5,0,39.34,4.734800000000004,0,5.501250267028809
O=C1CCCN1CCC1CCN(c2ccc(Cc3ccc(F)cc3F)cc2)CC1,398.4970000000001,2,0,6,4,5,0,23.550000000000004,4.784500000000005,0,5.120609283447266
O=C(Nc1ccc(F)cc1)C1(CCN2CCC(Cc3c[nH]c4ccccc34)CC2)CC1,419.54400000000015,2,2,7,5,5,0,48.13,5.370500000000005,0,5.791156768798828
O=C(CCCCN1CCc2ccc(F)cc21)Nc1ccc(N2CCc3ccccc32)cc1,429.5390000000002,3,1,7,5,5,0,35.580000000000005,5.691400000000005,0,5.218260765075684
O=C(NCC1CCN(C2CC2)CC1)C1(N(Cc2ccccc2Cl)C2CCCC2)CC1,430.0360000000003,3,1,8,5,5,0,35.580000000000005,4.607800000000004,0,5.476104736328125
O=C(CCC1CCCC1)NC1CCN(Cc2ccc(-c3ccc(F)cc3)s2)CC1,414.59000000000015,3,1,7,4,5,0,32.34,5.605200000000006,0,5.686657905578613
O=C(Nc1cccc(F)c1)C1(N2CCC(CCN3CCCCC3)CC2)CCCC1,401.5700000000004,3,1,6,4,5,0,35.580000000000005,4.6650000000000045,0,5.113516807556152
O=C1N(CCNc2ccc(F)cc2)CCN1CC1(c2ccc(F)cc2)CCCCC1,413.5120000000002,2,1,7,4,6,0,35.580000000000005,5.016400000000005,0,5.091730117797852
O=C(NCc1cccs1)C1CCN(Cc2cccc(-c3ccccc3F)c2)CC1,408.54200000000014,3,1,6,4,5,0,32.34,5.082600000000005,0,5.79016637802124
O=C(NCC1(c2ccc(F)cc2)CC1)c1ccc(CCN2CCc3sccc32)cc1,420.55300000000017,3,1,7,5,5,0,32.34,4.954000000000005,0,5.6862030029296875
O=C1NC(c2ccccc2)(c2ccc(F)c(F)c2)CN1CC1(C2CCCCC2)CCC1,424.5350000000004,1,1,5,5,5,0,32.34,5.984200000000005,1,4.983827590942383
Fc1ccc(C2(CN3CCN(CCc4c[nH]c5ccccc45)CC3)CCCCC2)nc1,420.57600000000036,3,1,6,5,5,0,35.16,4.764200000000004,0,5.093310356140137
O=C(NC[C@H]1C[C@@H](CCN2CCC(c3cccs3)CC2)C1)c1ccc(F)cc1,400.56300000000016,3,1,7,4,5,0,32.34,4.912900000000005,0,5.839855194091797
Fc1cccc(CN2CCC=C(c3c[nH]cn3)C2)c1CCN(C1CCCCC1)C1CC1,422.59200000000044,3,1,8,5,5,0,35.160000000000004,5.177700000000004,0,5.696811199188232
O=C(Cc1cccc(C23CCC(CC2)C3)c1)NC1CCN(Cc2c(F)cccc2F)CC1,438.5620000000002,2,1,6,5,5,0,32.34,5.119800000000005,0,5.681891441345215
O=C(NCCc1ccc(-c2ccc(F)cc2)c(F)c1)C1CCN(c2ccccn2)CC1,421.4910000000002,3,1,6,4,6,0,45.230000000000004,4.602100000000004,0,5.309111595153809
O=C(c1cccc(-c2ccccc2)c1)C1(NCCc2cccc(C(F)(F)F)c2)COC1,425.4500000000001,3,1,7,4,6,0,38.33,5.156400000000003,0,5.498885154724121
O=C(c1cccc(-c2ccc(F)c(F)c2)c1)N1CCC(CCNC2CCCC2)CC1,412.52400000000034,2,1,6,4,5,0,32.34,5.406300000000005,0,5.789914608001709
O=C(c1ccc(Cl)cc1)N(Cc1ccnc(-c2ccc(F)cc2)c1)CC1CC1,394.8770000000002,2,0,6,4,5,0,33.2,5.593500000000004,0,5.721684455871582
CC(C)c1cccc(F)c1C1CCN(CCCc2nc3c([nH]2)C(=O)NCC3)CC1,398.5260000000001,3,2,6,4,6,0,61.02,3.7703000000000024,0,5.764512062072754
O=C(NCc1cccs1)C1(c2cccc(OCC3CC3)c2)CCC(Cl)(CF)CC1,435.99200000000025,3,1,8,4,6,0,38.33,5.612200000000005,0,5.542359828948975
Clc1ccc(OCC2(c3ccccc3)CCN(Cc3ccc4cc[nH]c4c3)CC2)nc1,431.9670000000002,3,1,6,5,5,0,41.15,5.829100000000005,0,5.892190456390381
O=C(c1c[nH]c2ccc(F)cc12)N(CCCN1CCCCC1)C1CCc2ccccc21,419.54400000000027,2,1,6,5,5,0,39.34,5.312700000000006,1,5.790579795837402
Fc1ccc(C2(CN3CCCC3)CCN(CCc3c[nH]c4ccc(F)cc34)CC2)cc1,423.5510000000001,2,1,6,5,5,0,22.27,5.118200000000005,0,5.176130294799805
O=C(NCc1ccc(F)cc1F)C1(c2ccc(-c3ccccc3)cc2)CCN(C2CC2)C1,432.51400000000024,2,1,6,5,5,0,32.34,5.0541000000000045,1,5.341575622558594
CC(C)(CNC(=O)c1ccc(OC23CCC(CC2)CC3)cc1)c1ccc(F)c(F)c1,413.5080000000001,2,1,6,5,5,0,38.33,5.774000000000006,0,5.3364434242248535
O=C(NCCc1ccccc1)c1ccc(-c2ccc(N3CCC(F)(F)CC3)cc2)cc1,420.5030000000002,2,1,6,4,5,0,32.34,5.561600000000005,0,4.84964656829834
O=C(Cc1cn(-c2ccc(F)cc2)cc1CCC1CC1)NC1CCN(C2CC2)CC1,409.54900000000026,3,1,8,5,5,0,37.27,4.244500000000003,0,5.8873796463012695
O=C(Cc1cccc(OC(F)F)c1)N1CC=C(c2ccc(C3CC3)cc2)CC1,383.43800000000016,2,0,6,4,5,0,29.54,5.023800000000005,0,5.234881401062012
O=C(CCC1(C2CC2)CCCC1)N1CCC(N2CCC(c3ccc(F)cc3F)CC2)CC1,444.61000000000024,2,0,6,5,5,0,23.550000000000004,5.885800000000007,0,5.624760150909424
Fc1ccc2[nH]c(C3CCN(CCCCN4CCOCC4)CC3)cc2c1,359.48900000000015,3,1,6,4,5,0,31.500000000000004,3.5988000000000024,0,5.49225378036499
